pr_number,pr_title,comment_id,comment_body,commenter,component,file_path,created_at,url
21411,rc/xdcrm-devops-R3.1components,2705272044,Sorry this is missing RequiredPermission,lxp0dd4_nextera,fcxdedstatuspill:fcxdedstatuspill,VlocityData/dataPacks/VlocityCard/FCXDEDStatusPill/FCXDEDStatusPill.json,2026-01-19T15:44:39Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705272044
21411,rc/xdcrm-devops-R3.1components,2705408140,"I see this is private, clarify the public visibility below as well as sharing?  Why do we need to enable sharing and streaming API?",lxp0dd4_nextera,objects:fpls_geographical_master__c:fpls_geographical_master__c,force-app/main/default/objects/FPLS_Geographical_Master__c/FPLS_Geographical_Master__c.object-meta.xml,2026-01-19T16:26:10Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705408140
21411,rc/xdcrm-devops-R3.1components,2705423650,Isn't this just a repeat of the county above and shouldn't this just contain the district?,lxp0dd4_nextera,objects:fpls_geographical_master__c:recordtype:district,force-app/main/default/objects/FPLS_Geographical_Master__c/recordTypes/District.recordType-meta.xml,2026-01-19T16:30:26Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705423650
21411,rc/xdcrm-devops-R3.1components,2705431347,Clarify all of these record types,lxp0dd4_nextera,objects:fpls_geographical_master__c:recordtype:feeder_number,force-app/main/default/objects/FPLS_Geographical_Master__c/recordTypes/Feeder_Number.recordType-meta.xml,2026-01-19T16:32:01Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705431347
21411,rc/xdcrm-devops-R3.1components,2705439445,clarification,lxp0dd4_nextera,objects:fpls_geographical_master__c:recordtype:region,force-app/main/default/objects/FPLS_Geographical_Master__c/recordTypes/Region.recordType-meta.xml,2026-01-19T16:33:21Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705439445
21411,rc/xdcrm-devops-R3.1components,2705449741,same here,lxp0dd4_nextera,objects:fpls_geographical_master__c:recordtype:service_center,force-app/main/default/objects/FPLS_Geographical_Master__c/recordTypes/Service_Center.recordType-meta.xml,2026-01-19T16:35:07Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705449741
21411,rc/xdcrm-devops-R3.1components,2705456494,same here,lxp0dd4_nextera,objects:fpls_geographical_master__c:recordtype:substation,force-app/main/default/objects/FPLS_Geographical_Master__c/recordTypes/Substation.recordType-meta.xml,2026-01-19T16:36:18Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705456494
21411,rc/xdcrm-devops-R3.1components,2705494594,Same questions,lxp0dd4_nextera,objects:outage_admin_console_configuration__c:outage_admin_console_configuration__c,force-app/main/default/objects/Outage_Admin_Console_Configuration__c/Outage_Admin_Console_Configuration__c.object-meta.xml,2026-01-19T16:42:54Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705494594
21411,rc/xdcrm-devops-R3.1components,2705505646,Same question,lxp0dd4_nextera,objects:outage_flow_step_config__c:outage_flow_step_config__c,force-app/main/default/objects/Outage_Flow_Step_Config__c/Outage_Flow_Step_Config__c.object-meta.xml,2026-01-19T16:45:27Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705505646
21411,rc/xdcrm-devops-R3.1components,2705516334,Same question also why does this need bulk?,lxp0dd4_nextera,objects:outage_screen_log__c:outage_screen_log__c,force-app/main/default/objects/Outage_Screen_Log__c/Outage_Screen_Log__c.object-meta.xml,2026-01-19T16:48:13Z,https://github.com/NextEraEnergy/bv527-fpls-salesforce/pull/21411#discussion_r2705516334
